track_id,genres,track_artists,tempo,energy,key,popularity,mode,time_signature,speechiness,danceability,valence,acousticness,liveness,instrumentalness,name
4HOryCnbme0zBnF8LWij3f,"['art pop', 'pop']",Billie Eilish,159.679,0.128,10.0,72.0,1.0,4.0,0.109,0.599,0.367,0.974,0.115,0.121,Getting Older
1XjHRolIXL2M1EEOUsGGR4,['pop'],Taylor Swift,127.967,0.517,0.0,68.0,1.0,4.0,0.0347,0.604,0.511,0.768,0.123,0.000155,cowboy like me
5LBxMvApPk3HdsQdi6DT9L,"['k-pop', 'k-pop girl group', 'pop']",BLACKPINK,88.074,0.433,1.0,0.0,1.0,4.0,0.0383,0.628,0.343,0.569,0.104,7.71e-06,STAY
2MvvoeRt8NcOXWESkxWn3g,"['art pop', 'metropopolis', 'nz pop', 'pop']",Lorde,127.978,0.472,4.0,78.0,1.0,4.0,0.091,0.511,0.0399,0.534,0.11,0.614,Ribs
6aLOekfwbytwWvQftxTEF0,['pop'],Taylor Swift,96.97,0.725,5.0,49.0,1.0,4.0,0.0323,0.605,0.539,0.00201,0.101,2.02e-05,All You Had To Do Was Stay
5LYMamLv12UPbemOaTPyeV,['pop'],Harry Styles,107.041,0.715,11.0,74.0,1.0,4.0,0.04,0.72,0.357,0.258,0.107,0.0568,Music For a Sushi Restaurant
0hyImI8JaWONOrzKH7kJsC,"['art pop', 'pop']",Lana Del Rey,137.199,0.339,2.0,66.0,0.0,4.0,0.0489,0.387,0.273,0.918,0.13,0.00272,Tulsa Jesus Freak
6PERP62TejQjgHu81OHxgM,['pop'],Olivia Rodrigo,168.56,0.661,6.0,21.0,0.0,4.0,0.204,0.556,0.668,0.3,0.101,0.0,good 4 u
5CSKbHjpqborGnlzagyaDo,"['dance pop', 'pop', 'uk pop']",Dua Lipa,115.982,0.667,11.0,67.0,0.0,4.0,0.0339,0.659,0.468,0.00173,0.1,2.85e-05,Love Again
3RIgHHpnFKj5Rni1shokDj,"['art pop', 'pop']",Lana Del Rey,78.287,0.203,5.0,76.0,1.0,1.0,0.0346,0.215,0.143,0.968,0.0923,0.0585,Norman fucking Rockwell
5RaBeejGtdPEszYEKYECs2,['pop'],Taylor Swift,123.068,0.56,11.0,54.0,0.0,4.0,0.0352,0.669,0.155,0.00215,0.264,3.23e-05,Love Story (Taylor's Version) - Elvira Remix
5sp71CUt0jXRNqHblPGp7b,['pop'],Olivia Rodrigo,120.393,0.873,1.0,75.0,1.0,4.0,0.069,0.385,0.469,0.0557,0.353,0.0,ballad of a homeschooled girl
6FpdEqPmZ9aXIXiDi0Ke0f,"['art pop', 'pop']",Lana Del Rey,85.986,0.111,5.0,47.0,1.0,3.0,0.0415,0.384,0.177,0.938,0.104,6.02e-05,Blue Banisters
6SQLk9HSNketfgs2AyIiMs,['pop'],Harry Styles,140.026,0.521,0.0,69.0,1.0,3.0,0.0272,0.535,0.457,0.000532,0.19,0.371,She
5DgdvOOLj3Tn4bEzY9jAJ2,"['filmi', 'modern bollywood']",Armaan Malik,80.005,0.796,2.0,23.0,0.0,4.0,0.0361,0.529,0.34,0.402,0.0942,0.00287,Tum Jo Mile
045ZeOHPIzhxxsm8bq5kyE,['pop'],Taylor Swift,91.992,0.885,0.0,76.0,1.0,4.0,0.0418,0.547,0.192,0.000512,0.39,9.37e-05,Out Of The Woods (Taylor's Version)
6iYMfxznTBlcVOgRHab2W0,['pop'],Harry Styles,160.02,0.846,7.0,68.0,0.0,4.0,0.035,0.566,0.86,0.000564,0.121,0.000795,"Sunflower, Vol. 6"
1vYXt7VSjH9JIM5oRRo7vA,"['dance pop', 'pop', 'uk pop']",Dua Lipa,110.056,0.845,11.0,87.0,0.0,4.0,0.048,0.671,0.775,0.0207,0.329,0.0,Dance The Night - From Barbie The Album
58P060mo9WWgEAdDvf0Riz,['pop'],Taylor Swift,80.961,0.579,7.0,37.0,1.0,4.0,0.164,0.392,0.549,0.835,0.145,0.00179,willow
0ZRrJTPXDToRJ2iLo9oLrW,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,169.152,0.875,11.0,0.0,0.0,4.0,0.199,0.348,0.407,0.0341,0.117,0.0,When The Sun Goes Down
0j3AgwHeoqudbV5ru5wNwT,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,140.402,0.895,4.0,35.0,0.0,4.0,0.0445,0.606,0.786,0.000612,0.0369,0.0,Temptation Greets You Like Your Naughty Friend
4y5bvROuBDPr5fuwXbIBZR,['pop'],Taylor Swift,103.979,0.719,9.0,81.0,1.0,4.0,0.0497,0.811,0.865,0.0129,0.0742,1.36e-05,Paper Rings
7Hk6vSplBGJ6zK9GcGgeIa,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,183.67,0.664,0.0,0.0,1.0,4.0,0.0379,0.414,0.863,0.24,0.288,0.0656,One for the Road
1GwMQaZz6Au3QLDbjbMdme,['pop'],Taylor Swift,163.954,0.504,9.0,77.0,1.0,4.0,0.0731,0.598,0.252,0.186,0.34,0.000221,Call It What You Want
2naEVOadudtXHwtZNfjMDM,"['k-pop', 'k-pop girl group', 'pop']",BLACKPINK,109.826,0.961,4.0,0.0,1.0,4.0,0.096,0.592,0.508,0.0423,0.0882,0.0,Forever Young
1Iq8oo9XkmmvCQiGOfORiz,['pop'],Taylor Swift,100.012,0.658,0.0,85.0,1.0,4.0,0.036,0.596,0.176,0.0504,0.127,0.0,Is It Over Now? (Taylor's Version) (From The Vault)
5kRPPEWFJIMox5qIkQkiz5,['pop'],Harry Styles,104.085,0.262,7.0,73.0,1.0,4.0,0.0276,0.427,0.228,0.746,0.068,0.0,Sweet Creature
1bAvtmTl0F9loyz9AwPwp7,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,91.007,0.485,0.0,60.0,0.0,4.0,0.053,0.666,0.287,0.0355,0.504,0.000599,Losers
28tIMaewZuGR8urkvFhQyA,['pop'],Taylor Swift,147.948,0.618,7.0,53.0,1.0,4.0,0.0379,0.64,0.614,0.743,0.0574,0.004,the last great american dynasty - the long pond studio sessions
3GYlZ7tbxLOxe6ewMNVTkw,"['art pop', 'pop']",Billie Eilish,140.214,0.236,4.0,82.0,0.0,4.0,0.0379,0.412,0.119,0.83,0.147,0.00653,TV
6lzc0Al0zfZOIFsFvBS1ki,['pop'],Taylor Swift,129.958,0.713,9.0,67.0,1.0,4.0,0.0503,0.594,0.328,0.000328,0.114,0.0,State Of Grace (Taylor's Version)
5SzoFexynLVceTLggJTZZM,"['art pop', 'pop']",Lana Del Rey,84.809,0.317,10.0,56.0,1.0,4.0,0.028,0.189,0.251,0.812,0.214,0.0719,Blue Velvet
3esA216TyLHEkNiBCeCmcg,['pop'],Taylor Swift,126.084,0.434,1.0,44.0,1.0,4.0,0.0289,0.666,0.396,0.647,0.124,1.95e-06,The Best Day
6qAcApH8obo8eqatCKUHd9,['pop'],Taylor Swift,170.091,0.648,2.0,72.0,1.0,4.0,0.103,0.602,0.174,0.0104,0.217,0.0,Bad Blood (feat. Kendrick Lamar) (Taylor's Version)
0zPgEG7Cx33w0o0J2nvURB,"['dance pop', 'pop', 'uk pop']",Dua Lipa,90.483,0.753,5.0,0.0,0.0,4.0,0.0542,0.656,0.79,0.143,0.0981,1.08e-06,Cool
0eFQWVz0qIxDOvhLpZ40P7,['pop'],Taylor Swift,179.947,0.258,2.0,69.0,1.0,4.0,0.0383,0.313,0.268,0.842,0.0948,1.3e-06,the lakes - bonus track
6AtZLIzUINvExIUy4QhdjP,['pop'],Taylor Swift,154.008,0.557,6.0,76.0,1.0,4.0,0.0342,0.584,0.767,0.0129,0.0576,0.0,I Knew You Were Trouble (Taylor's Version)
1z5jOmNswvnzjC5gFLu5Dv,"['dance pop', 'pop', 'uk pop']",Dua Lipa,110.127,0.868,3.0,47.0,0.0,4.0,0.0908,0.532,0.529,0.011,0.0584,0.0,Hotter Than Hell
1IF5UcqRO42D12vYwceOY6,['pop'],Harry Styles,94.08,0.156,8.0,70.0,1.0,4.0,0.0371,0.671,0.201,0.804,0.113,0.0518,From the Dining Table
5Kllw7Fco57MHtMEGgRdoc,"['k-pop', 'k-pop boy group', 'pop']",Stray Kids,179.958,0.946,2.0,47.0,1.0,3.0,0.361,0.348,0.589,0.0278,0.14,0.0,CHEESE
1qEmFfgcLObUfQm0j1W2CK,['pop'],Harry Styles,114.996,0.728,10.0,83.0,1.0,4.0,0.0468,0.714,0.901,0.298,0.106,0.0,Late Night Talking
1cdzfFjEbUbgTm5nv3FgXR,['pop'],Ariana Grande,100.016,0.876,6.0,64.0,1.0,4.0,0.239,0.671,0.8,0.266,0.444,0.0,Focus
1mhVXWduD8ReDwusfaHNwU,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,74.64,0.454,1.0,66.0,0.0,4.0,0.0425,0.583,0.309,0.265,0.181,0.0,Tell Your Friends
4c4qqhFrvOgddweMQS0ptG,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,122.028,0.742,6.0,54.0,0.0,4.0,0.0784,0.774,0.677,0.0312,0.0907,5.03e-05,Sacrifice (Remix) (feat. Swedish House Mafia)
4txojlesMFQZGWxwz2EeqB,['pop'],Taylor Swift,157.96,0.837,0.0,64.0,1.0,4.0,0.12,0.482,0.534,0.435,0.123,0.00147,"Would've, Could've, Should've"
5udz8YvYKpDRB3gcSILh0e,['pop'],Ariana Grande,107.032,0.667,1.0,0.0,1.0,4.0,0.0679,0.746,0.384,0.271,0.102,1.2e-06,"thank u, next"
761QvVHTibYjEi2r6A4g4Q,"['art pop', 'pop']",Lana Del Rey,203.944,0.472,10.0,68.0,1.0,4.0,0.0718,0.205,0.0392,0.498,0.0953,0.000792,Get Free
3Cz6MZdwncB4qasyRPen4S,['pop'],Sabrina Carpenter,112.967,0.837,1.0,50.0,0.0,4.0,0.0645,0.659,0.564,0.0134,0.266,0.0,buy me presents
6pYNq0ZwpPVazKzsqpf0G8,['pop'],Taylor Swift,121.009,0.733,7.0,71.0,1.0,4.0,0.0281,0.678,0.581,0.00115,0.104,0.0,The Very First Night (Taylor's Version) (From The Vault)
4IwvoV3uQhRpyflYHPmHU3,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",Arctic Monkeys,114.967,0.617,2.0,0.0,1.0,4.0,0.037,0.571,0.455,0.184,0.206,0.00545,Fire And The Thud
7BFI9QZPQKgYuR2HhDgwbG,"['art pop', 'metropopolis', 'nz pop', 'pop']",Lorde,84.878,0.428,7.0,0.0,1.0,4.0,0.122,0.674,0.337,0.121,0.132,0.0,Royals
0d2nqd8iWUX0BpLo6Lg2C8,"['canadian contemporary r&b', 'canadian pop', 'pop']",The Weeknd,119.993,0.707,7.0,2.0,0.0,4.0,0.0987,0.68,0.382,0.479,0.511,0.0,D.D.
6xsEAm6w9oMQYYg3jkEkMT,['pop'],Taylor Swift,170.16,0.655,11.0,68.0,0.0,4.0,0.106,0.654,0.221,0.0294,0.139,0.0,Bad Blood
7nWui6jiMM2m9qFmET1Mtj,['pop'],Taylor Swift,116.04,0.279,0.0,60.0,1.0,4.0,0.031,0.623,0.38,0.661,0.193,0.0,Ronan (Taylor's Version)
58AFokYCv4jdJ2T0hEoQ2r,['pop'],Sabrina Carpenter,122.221,0.37,4.0,58.0,1.0,4.0,0.0385,0.592,0.385,0.663,0.0777,0.0,decode
